type,id,name,website,phone,last_verified,source_status,final_url,source_title,phone_found_on_page,review_status
"course","ca1ec0be-b323-4729-aff0-7282063e8c0d","Before You Purchase an Apartment","https://youtube.com/shorts/RVl_rz6UG8M","","","200","https://www.youtube.com/shorts/RVl_rz6UG8M","5 Things You Need To Know Before You Move Into Your 1st Apartment - YouTube","","Needs staff review of current services, hours, and eligibility"
"course","01041a5a-4aa1-48d9-89d4-0510cf250da2","Budgeting for Beginners","https://youtu.be/-vVp185Sq24","","","200","https://www.youtube.com/watch?v=-vVp185Sq24&feature=youtu.be","Budgeting For Beginners | How To Create A Budget From Scratch (2025) - YouTube","","Needs staff review of current services, hours, and eligibility"
"course","6a570a11-405b-4a05-9dab-57cc8df24176","Case Management","","","","missing_url","","","","Needs staff review of current services, hours, and eligibility"
"course","7ceffc68-ba95-418c-a94e-17c1e02f530b","Cellphone Access","","","","missing_url","","","","Needs staff review of current services, hours, and eligibility"
"course","445d2e2a-84fd-46a4-9fcf-671be6ac05a2","College Admissions Counseling","","","","missing_url","","","","Needs staff review of current services, hours, and eligibility"
"course","1ac0b661-b2cf-47a8-a261-334d20fc8b42","Computer Training","","","","missing_url","","","","Needs staff review of current services, hours, and eligibility"
"course","d7a8a815-89be-4b9e-ba5b-d29daf7be7e2","Creating SMART GOALS","https://youtu.be/2KWEe1SQa2g","","","200","https://www.youtube.com/watch?v=2KWEe1SQa2g&feature=youtu.be","- YouTube","","Needs staff review of current services, hours, and eligibility"
"course","4d6baa11-fdfd-4a1e-bbd9-b2df41406cca","Dental Care","","","","missing_url","","","","Needs staff review of current services, hours, and eligibility"
"course","c62adbdc-2303-4062-97b0-0bb795846a9c","Digital Literacy","","","","missing_url","","","","Needs staff review of current services, hours, and eligibility"
"course","a8f4d914-8c2c-421b-8a01-d17e36c6f951","Digital Literacy Skills","","","","missing_url","","","","Needs staff review of current services, hours, and eligibility"
"course","07fe1240-8f9d-40fa-a3a9-e1566b2225ee","Emergency Savings","https://tdbank.everfi-next.net/student/dashboard/td-learning/tdbank-investing-in-your-future/building-emergency-savings?locale=en","","","200","https://tdbank.everfi-next.net/users/guest_relay?original_url_guest=https%3A%2F%2Feverfi-next.net%3A443%2Fr%2FBAhJIgGBaHR0cHM6Ly90ZGJhbmsuZXZlcmZpLW5leHQubmV0L3N0dWRlbnQvZGFzaGJvYXJkL3RkLWxlYXJuaW5nL3RkYmFuay1pbnZlc3RpbmctaW4teW91ci1mdXR1cmUvYnVpbGRpbmctZW1lcmdlbmN5LXNhdmluZ3M%2FbG9jYWxlPWVuBjoGRVQ%3D--e0530ff097a8d325ec62d16abe0a814c54fff4a8d797f59a33bed7f164d0cdaa&program_id=1159","","","Needs staff review of current services, hours, and eligibility"
"course","c404ecfc-e3ff-4336-b2c0-42341fe24d7a","Expungement Assistance","","","","missing_url","","","","Needs staff review of current services, hours, and eligibility"
"course","9f4368aa-176d-4ab4-b184-03857d04fd56","Family Reunification Services","","","","missing_url","","","","Needs staff review of current services, hours, and eligibility"
"course","bf56fcf2-520f-4cb8-9867-65ef497fe77f","GED Preparation","","","","missing_url","","","","Needs staff review of current services, hours, and eligibility"
